Nombre (AFORE),Estado,latitud,longitud,PEA
COPPEL,Chiapas,15.7835784,-92.1155691,61843.64
COPPEL,Chiapas,16.6966901,-93.7216936,61843.64
COPPEL,Chiapas,16.2072118,-92.1000163,61843.64
COPPEL,Chiapas,14.9055567,-92.2634136,61843.64
COPPEL,Chiapas,14.720519,-92.424577,61843.64
COPPEL,Chiapas,16.708033,-93.0111427,61843.64
SURA,Chiapas,14.9060287,-92.2482496,61843.64
CITIBANAMEX,Chiapas,16.7212284,-92.6561571,61843.64
CITIBANAMEX,Chiapas,14.8772193,-92.2666772,61843.64
CITIBANAMEX,Chiapas,16.755784,-93.1544505,61843.64
CITIBANAMEX,Chiapas,16.7559173,-93.1271338,61843.64
XXI-BANORTE,Chiapas,14.907303,-92.2655012,61843.64
XXI-BANORTE,Chiapas,16.7487696,-93.0921446,61843.64
AZTECA,Chiapas,16.7540012,-93.116306,61843.64
Nuevo CAP,Chiapas,16.14249304,-92.73781433,1
INBURSA,Chihuahua,28.4047438,-106.8704183,29728.02
INBURSA,Chihuahua,28.1928264,-105.4613703,29728.02
INBURSA,Chihuahua,31.7217937,-106.4187489,29728.02
INBURSA,Chihuahua,28.6483386,-106.0989951,29728.02
INBURSA,Chihuahua,26.9316643,-105.6623174,29728.02
INBURSA,Chihuahua,30.4145739,-107.914715,29728.02
INVERCAP,Chihuahua,28.6658937,-106.0914826,29728.02
INVERCAP,Chihuahua,28.6276347,-106.0993508,29728.02
INVERCAP,Chihuahua,28.4021034,-106.8665147,29728.02
INVERCAP,Chihuahua,28.1978216,-105.4715852,29728.02
INVERCAP,Chihuahua,31.7223972,-106.4194234,29728.02
INVERCAP,Chihuahua,31.6597549,-106.4407699,29728.02
INVERCAP,Chihuahua,31.656442,-106.3877278,29728.02
INVERCAP,Chihuahua,30.4195514,-107.9087438,29728.02
PENSIONISSSTE,Chihuahua,31.7349424,-106.4435867,29728.02
PENSIONISSSTE,Chihuahua,28.6180364,-106.1034114,29728.02
COPPEL,Chihuahua,31.7402717,-106.487034,29728.02
COPPEL,Chihuahua,28.63992,-106.0775201,29728.02
COPPEL,Chihuahua,28.5949642,-106.107963,29728.02
COPPEL,Chihuahua,28.192333,-105.4692025,29728.02
COPPEL,Chihuahua,31.7146895,-106.45256,29728.02
COPPEL,Chihuahua,31.7050955,-106.4288557,29728.02
COPPEL,Chihuahua,28.6733791,-106.0999341,29728.02
COPPEL,Chihuahua,31.6615662,-106.4724749,29728.02
COPPEL,Chihuahua,28.4065785,-106.8661865,29728.02
COPPEL,Chihuahua,31.6542393,-106.4206196,29728.02
COPPEL,Chihuahua,31.6417998,-106.3556338,29728.02
COPPEL,Chihuahua,28.7133073,-106.1367757,29728.02
COPPEL,Chihuahua,28.4854458,-105.7820674,29728.02
COPPEL,Chihuahua,26.9323712,-105.6661806,29728.02
COPPEL,Chihuahua,31.6563048,-106.4332256,29728.02
COPPEL,Chihuahua,28.7051747,-106.1291849,29728.02
COPPEL,Chihuahua,28.6221058,-106.0297613,29728.02
COPPEL,Chihuahua,31.6272383,-106.3543909,29728.02
COPPEL,Chihuahua,31.7365889,-106.4454183,29728.02
COPPEL,Chihuahua,31.6761004,-106.4585327,29728.02
COPPEL,Chihuahua,26.9412261,-105.7044943,29728.02
COPPEL,Chihuahua,28.7371523,-106.1331004,29728.02
COPPEL,Chihuahua,28.3982731,-106.8778557,29728.02
COPPEL,Chihuahua,31.5993748,-106.3783903,29728.02
COPPEL,Chihuahua,31.6927326,-106.3805225,29728.02
COPPEL,Chihuahua,28.190233,-105.4610198,29728.02
COPPEL,Chihuahua,31.6330784,-106.3911498,29728.02
COPPEL,Chihuahua,31.7391493,-106.4856363,29728.02
COPPEL,Chihuahua,28.188284,-105.4741787,29728.02
COPPEL,Chihuahua,26.9330306,-105.6722407,29728.02
COPPEL,Chihuahua,28.2687771,-105.4804731,29728.02
COPPEL,Chihuahua,26.9352735,-105.6672576,29728.02
SURA,Chihuahua,31.7187416,-106.4570497,29728.02
SURA,Chihuahua,28.6651938,-106.1183999,29728.02
CITIBANAMEX,Chihuahua,30.4157764,-107.913442,29728.02
CITIBANAMEX,Chihuahua,28.1875813,-105.467068,29728.02
CITIBANAMEX,Chihuahua,31.6903638,-106.4245478,29728.02
CITIBANAMEX,Chihuahua,31.7450316,-106.4486852,29728.02
CITIBANAMEX,Chihuahua,28.6233832,-106.0862347,29728.02
CITIBANAMEX,Chihuahua,28.4065785,-106.8661865,29728.02
CITIBANAMEX,Chihuahua,26.9323712,-105.6661806,29728.02
XXI-BANORTE,Chihuahua,31.7382498,-106.4266004,29728.02
XXI-BANORTE,Chihuahua,28.6229502,-106.0544517,29728.02
PRINCIPAL,Chihuahua,28.6730595,-106.1345611,29728.02
PRINCIPAL,Chihuahua,28.4854458,-105.7820674,29728.02
AZTECA,Chihuahua,31.743885,-106.4858629,29728.02
Nuevo CAP,Chihuahua,29.67789723,-106.2243476,1
INBURSA,Coahuila,29.3232963,-100.9514187,26210.19
INBURSA,Coahuila,26.9137016,-101.4283113,26210.19
INBURSA,Coahuila,28.6879981,-100.541484,26210.19
INBURSA,Coahuila,25.4338821,-100.9972605,26210.19
INBURSA,Coahuila,25.5638277,-103.4290067,26210.19
PROFUTURO,Coahuila,25.5419632,-103.4095637,26210.19
PROFUTURO,Coahuila,25.4566448,-100.9825108,26210.19
PROFUTURO,Coahuila,26.9141785,-101.4275715,26210.19
INVERCAP,Coahuila,27.058676,-101.7068294,26210.19
INVERCAP,Coahuila,28.7043455,-100.5221259,26210.19
INVERCAP,Coahuila,25.4385038,-100.9983646,26210.19
INVERCAP,Coahuila,25.5443964,-103.4445573,26210.19
INVERCAP,Coahuila,25.5774101,-103.409278,26210.19
INVERCAP,Coahuila,27.8523448,-101.1263507,26210.19
PENSIONISSSTE,Coahuila,25.5486569,-100.9437106,26210.19
PENSIONISSSTE,Coahuila,25.446294,-100.994901,26210.19
COPPEL,Coahuila,25.5365304,-103.4527456,26210.19
COPPEL,Coahuila,25.434584,-101.0055196,26210.19
COPPEL,Coahuila,26.9020408,-101.4180758,26210.19
COPPEL,Coahuila,25.4245275,-101.0037971,26210.19
COPPEL,Coahuila,25.534222,-103.407262,26210.19
COPPEL,Coahuila,27.058676,-101.7068294,26210.19
COPPEL,Coahuila,25.5350694,-103.4661834,26210.19
COPPEL,Coahuila,25.507163,-103.402016,26210.19
COPPEL,Coahuila,26.9006086,-101.4398593,26210.19
COPPEL,Coahuila,25.5649026,-103.4415675,26210.19
COPPEL,Coahuila,28.7068343,-100.5141661,26210.19
COPPEL,Coahuila,25.4171401,-100.9717538,26210.19
COPPEL,Coahuila,27.9334245,-101.2265231,26210.19
COPPEL,Coahuila,25.5340336,-103.2507472,26210.19
COPPEL,Coahuila,25.7587968,-102.9824168,26210.19
COPPEL,Coahuila,25.434448,-100.9453814,26210.19
COPPEL,Coahuila,25.5544132,-100.944282,26210.19
COPPEL,Coahuila,28.6847295,-100.54696,26210.19
COPPEL,Coahuila,25.5429234,-103.4509286,26210.19
COPPEL,Coahuila,25.4242175,-101.0027591,26210.19
COPPEL,Coahuila,25.5372175,-103.4611305,26210.19
COPPEL,Coahuila,25.4421383,-100.9804354,26210.19
COPPEL,Coahuila,29.3276406,-100.9759315,26210.19
SURA,Coahuila,29.322909,-100.9312575,26210.19
SURA,Coahuila,26.9080378,-101.4215236,26210.19
SURA,Coahuila,25.5709348,-103.4204442,26210.19
SURA,Coahuila,25.4525831,-100.952091,26210.19
CITIBANAMEX,Coahuila,29.3276406,-100.9759315,26210.19
CITIBANAMEX,Coahuila,26.8996199,-101.4197205,26210.19
CITIBANAMEX,Coahuila,28.694826,-100.5275022,26210.19
CITIBANAMEX,Coahuila,25.461557,-100.978348,26210.19
CITIBANAMEX,Coahuila,25.5423132,-103.4432905,26210.19
CITIBANAMEX,Coahuila,25.5592412,-103.4344247,26210.19
XXI-BANORTE,Coahuila,29.333111,-100.957611,26210.19
XXI-BANORTE,Coahuila,26.9080378,-101.4215236,26210.19
XXI-BANORTE,Coahuila,27.9375597,-101.2113252,26210.19
XXI-BANORTE,Coahuila,28.7063484,-100.5310602,26210.19
XXI-BANORTE,Coahuila,25.4470602,-100.9993804,26210.19
XXI-BANORTE,Coahuila,25.4524752,-100.9869929,26210.19
XXI-BANORTE,Coahuila,25.5442967,-103.4489827,26210.19
XXI-BANORTE,Coahuila,25.5455375,-103.4527938,26210.19
PRINCIPAL,Coahuila,25.5589086,-103.4360502,26210.19
PRINCIPAL,Coahuila,25.4331771,-100.9957251,26210.19
Nuevo CAP,Coahuila,26.47567314,-101.8337694,1
INBURSA,Colima,19.2549677,-103.7155904,17141.19
INBURSA,Colima,19.0964202,-104.3041502,17141.19
INVERCAP,Colima,19.2576606,-103.7178529,17141.19
INVERCAP,Colima,19.1065833,-104.3358207,17141.19
PENSIONISSSTE,Colima,19.272548,-103.734967,17141.19
COPPEL,Colima,19.2438822,-103.7390894,17141.19
COPPEL,Colima,19.240026,-103.7231429,17141.19
COPPEL,Colima,18.9118196,-103.8723082,17141.19
COPPEL,Colima,19.2724025,-103.7369358,17141.19
COPPEL,Colima,19.0722871,-104.2793668,17141.19
COPPEL,Colima,19.2427776,-103.7374697,17141.19
COPPEL,Colima,19.241945,-103.7257042,17141.19
COPPEL,Colima,19.0501108,-104.3185668,17141.19
COPPEL,Colima,18.9107204,-103.8760325,17141.19
COPPEL,Colima,19.3291594,-103.602993,17141.19
SURA,Colima,19.2530872,-103.7130333,17141.19
CITIBANAMEX,Colima,19.2403456,-103.7281926,17141.19
CITIBANAMEX,Colima,19.0497472,-104.3224637,17141.19
XXI-BANORTE,Colima,19.2452571,-103.7139191,17141.19
PRINCIPAL,Colima,19.109394,-104.3196218,17141.19
AZTECA,Colima,19.2450546,-103.7290524,17141.19
Nuevo CAP,Colima,19.16777717,-103.8835815,1
INBURSA,Durango,24.0482868,-104.6217329,38789
PROFUTURO,Durango,24.0289931,-104.6442301,38789
INVERCAP,Durango,24.0300306,-104.6456206,38789
INVERCAP,Durango,25.5494619,-103.4784961,38789
PENSIONISSSTE,Durango,25.5545574,-103.508086,38789
PENSIONISSSTE,Durango,24.021162,-104.671233,38789
COPPEL,Durango,24.0258092,-104.6669355,38789
COPPEL,Durango,24.5592665,-104.6587821,38789
COPPEL,Durango,24.0229949,-104.668303,38789
COPPEL,Durango,25.5537148,-103.5063278,38789
COPPEL,Durango,24.0438612,-104.6312775,38789
COPPEL,Durango,24.0230219,-104.6703975,38789
COPPEL,Durango,24.0076285,-104.6641195,38789
COPPEL,Durango,25.5942357,-103.5032103,38789
COPPEL,Durango,25.5457865,-103.5196068,38789
COPPEL,Durango,24.0277202,-104.6531759,38789
COPPEL,Durango,25.3384562,-105.7217668,38789
SURA,Durango,24.0283729,-104.6614581,38789
CITIBANAMEX,Durango,24.0283436,-104.6493255,38789
CITIBANAMEX,Durango,25.5488873,-103.4729563,38789
XXI-BANORTE,Durango,24.0315455,-104.6537497,38789
AZTECA,Durango,24.0277202,-104.6531759,38789
Nuevo CAP,Durango,24.53674703,-104.4191178,1
INBURSA,Estado de México,19.6057728,-99.0365112,49952.19
INBURSA,Estado de México,19.4261696,-99.0194002,49952.19
INBURSA,Estado de México,19.6659588,-99.2094687,49952.19
INBURSA,Estado de México,19.5273191,-99.1014523,49952.19
INBURSA,Estado de México,19.2742674,-99.5736939,49952.19
INBURSA,Estado de México,19.5316781,-99.220109,49952.19
INBURSA,Estado de México,19.5145573,-98.8528126,49952.19
INBURSA,Estado de México,19.2713414,-99.6307313,49952.19
PROFUTURO,Estado de México,19.2826098,-99.6556653,49952.19
INVERCAP,Estado de México,19.2763372,-98.8990118,49952.19
INVERCAP,Estado de México,19.6550654,-99.207905,49952.19
INVERCAP,Estado de México,19.6334506,-99.0765196,49952.19
INVERCAP,Estado de México,19.2616675,-99.6110749,49952.19
INVERCAP,Estado de México,19.4953521,-99.2363407,49952.19
INVERCAP,Estado de México,19.5413479,-99.2148424,49952.19
INVERCAP,Estado de México,20.0535516,-99.3395636,49952.19
INVERCAP,Estado de México,19.5386665,-99.0662121,49952.19
PENSIONISSSTE,Estado de México,19.641655,-99.135953,49952.19
PENSIONISSSTE,Estado de México,19.68572,-99.213646,49952.19
PENSIONISSSTE,Estado de México,19.6044288,-99.0123901,49952.19
PENSIONISSSTE,Estado de México,19.2922765,-99.6233734,49952.19
PENSIONISSSTE,Estado de México,19.3572844,-99.1984595,49952.19
COPPEL,Estado de México,19.2899863,-99.6553117,49952.19
COPPEL,Estado de México,19.6550654,-99.207905,49952.19
COPPEL,Estado de México,19.4709414,-99.2363597,49952.19
COPPEL,Estado de México,19.3109604,-98.9141864,49952.19
COPPEL,Estado de México,19.3347211,-98.5806193,49952.19
COPPEL,Estado de México,19.6619175,-99.2250328,49952.19
COPPEL,Estado de México,19.6467878,-99.1706503,49952.19
COPPEL,Estado de México,19.6891727,-99.2315943,49952.19
COPPEL,Estado de México,19.6329012,-99.0935692,49952.19
COPPEL,Estado de México,19.6296405,-99.0861716,49952.19
COPPEL,Estado de México,19.5384145,-99.1940708,49952.19
